City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
329,Ayacucho,PE,-13.1583,-74.2239,288.08,76,100,3.82,overcast clouds
330,Le Port,RE,-20.9373,55.2919,296.15,82,80,1.54,light rain
331,Luganville,VU,-15.5333,167.1667,303.16,68,41,3.53,scattered clouds
332,Brewster,US,41.3973,-73.6171,280.46,67,0,0.0,clear sky
333,Totma,RU,59.9747,42.7642,266.08,69,100,3.18,light snow
334,Hakkari,TR,37.5833,44.1667,272.03,69,75,1.54,broken clouds
335,Marystown,CA,47.1666,-55.1483,273.74,69,5,8.89,clear sky
336,Liverpool,GB,53.4106,-2.9779,280.12,92,100,3.6,overcast clouds
337,Ambulu,ID,-8.345,113.6058,299.57,83,100,0.68,overcast clouds
338,Alice Springs,AU,-23.7,133.8833,290.9,52,100,3.09,light rain
339,Maracaibo,VE,10.6317,-71.6406,298.82,81,0,3.2,clear sky
340,Suntar,RU,62.1444,117.6319,242.71,100,88,1.51,overcast clouds
341,Beian,NO,63.6559,9.5683,277.04,60,0,9.26,clear sky
342,Bud,US,39.447,-86.1758,279.49,63,0,3.14,clear sky
343,Singkawang,ID,0.9,109.0,302.1,67,76,1.55,broken clouds
344,Agaro,ET,7.85,36.65,287.02,89,100,0.62,overcast clouds
345,Noumea,NC,-22.2763,166.4572,304.14,66,16,4.46,few clouds
346,Shenzhen,CN,22.5455,114.0683,298.91,99,100,1.85,overcast clouds
